ts,level,reason,EAR,MAR,PERCLOS
2025-09-03 14:29:38,L2,Microsleep / Long eye closure,0.23706976971792143,0.005620405932419578,0.5193965517241379
2025-09-03 14:29:39,L1,Drowsiness rising (PERCLOS),0.11205376786487906,0.17695900043281715,0.5
2025-09-03 14:29:42,L1,Drowsiness rising (PERCLOS),0.05129899839386522,0.01986843516886546,0.5685279187817259
2025-09-03 14:29:44,L2,Microsleep / Long eye closure,0.05500415159801673,0.2028149729546631,0.6046511627906976
2025-09-03 14:29:45,L1,Drowsiness rising (PERCLOS),0.044103660695931315,0.3344778477461491,0.6255506607929515
2025-09-03 14:29:49,L1,Drowsiness rising (PERCLOS),0.46834540191544755,0.01994144852068901,0.6126943005181347
2025-09-03 14:29:50,L2,High drowsiness (PERCLOS),0.3250120932661364,0.10536325168404084,0.6084848484848485
2025-09-03 14:29:52,L1,Drowsiness rising (PERCLOS),0.07602483833950073,0.010903092385783401,0.5916473317865429
2025-09-03 14:32:37,L2,Microsleep / Long eye closure,0.15800146963006778,0.003175708783358116,0.18652849740932642
2025-09-03 14:32:38,L1,Drowsiness rising (PERCLOS),0.19833023412610046,0.0017904906635583507,0.3022222222222222
2025-09-03 14:32:41,L1,Yawn detected,0.18912350537929046,0.6186877039290687,0.3987341772151899
2025-09-03 14:32:44,L2,Microsleep / Long eye closure,0.18606300037783968,0.04443848370614719,0.45077720207253885
2025-09-03 14:32:44,L1,Eyes off-road / Gaze deviation,0.2479292922011164,0.004826302039124041,0.47783251231527096
2025-09-03 14:32:47,L1,Drowsiness rising (PERCLOS),0.4075546662784322,0.007304697332486535,0.44466800804828976
2025-09-03 14:32:50,L2,Microsleep / Long eye closure,0.24905520493224292,0.029883114086765843,0.4300341296928328
2025-09-03 14:32:50,L1,Drowsiness rising (PERCLOS),0.2881516528711491,0.031017175479100295,0.42857142857142855
2025-09-03 14:32:54,L1,Eyes off-road / Gaze deviation,0.27124474315863906,0.03865777147037969,0.3631123919308357
2025-09-03 14:32:57,L1,Drowsiness rising (PERCLOS),0.30467584268010833,0.02365640906975408,0.3278061224489796
2025-09-03 14:34:20,L1,Yawn detected,0.2760127883746882,0.5853448088574205,0.01282051282051282
2025-09-03 14:34:23,L2,Microsleep / Long eye closure,0.11414291732814882,0.15086528454998777,0.30434782608695654
2025-09-03 14:34:23,L1,Drowsiness rising (PERCLOS),0.1251557885934716,0.112514731636016,0.3333333333333333
2025-09-03 14:34:26,L1,Drowsiness rising (PERCLOS),0.16641692951325232,0.0036213550553085916,0.5675675675675675
2025-09-03 14:34:29,L2,High drowsiness (PERCLOS),0.16899700982077998,0.06166004952799627,0.5689149560117303
2025-09-03 14:34:29,L1,Drowsiness rising (PERCLOS),0.19526441383187257,0.007316537133443891,0.58
2025-09-03 14:34:32,L1,Drowsiness rising (PERCLOS),0.23913923605726128,0.0011757037424792913,0.5409090909090909
2025-09-03 14:34:35,L2,High drowsiness (PERCLOS),0.24135675592092104,0.6671896043308589,0.5297504798464492
2025-09-03 14:34:35,L1,Yawn detected,0.2357522503757957,0.6173873011531857,0.5386064030131826
2025-09-03 14:34:38,L1,Drowsiness rising (PERCLOS),0.2086428173538654,0.005463087161661414,0.6061093247588425
2025-09-03 14:34:41,L2,High drowsiness (PERCLOS),0.20234474367355784,0.08116170065029175,0.5826210826210826
2025-09-03 14:34:41,L1,Drowsiness rising (PERCLOS),0.2727404956375262,0.11443963707446272,0.5814606741573034
2025-09-03 14:34:46,L1,Drowsiness rising (PERCLOS),0.25158309339125884,0.07561013102692007,0.5143884892086331
2025-09-03 14:34:47,L2,High drowsiness (PERCLOS),0.35800337498387,0.0017670926220299914,0.5062287655719139
2025-09-03 14:34:49,L1,Drowsiness rising (PERCLOS),0.24214931589996375,0.16909336605336772,0.49405405405405406
2025-09-03 14:34:52,L1,Drowsiness rising (PERCLOS),0.21008388123352567,0.1310089833225215,0.4970472440944882
2025-09-03 14:34:53,L2,Microsleep / Long eye closure,0.2357863399188525,0.0027172802055532375,0.5192850423330198
2025-09-03 14:35:01,L1,Yawn detected,0.29000129056617235,0.5313809163359845,0.0
2025-09-03 14:35:04,L2,Microsleep / Long eye closure,0.19949720857480474,0.11449630922576874,0.28888888888888886
2025-09-03 14:35:04,L1,Drowsiness rising (PERCLOS),0.2049742027364009,0.06335529499856407,0.3469387755102041
2025-09-03 14:35:07,L1,Drowsiness rising (PERCLOS),0.15178414357147102,0.004907553924851395,0.5949367088607594
2025-09-03 14:35:10,L2,Microsleep / Long eye closure,0.18521571820551203,0.006789703002166596,0.6952380952380952
2025-09-03 14:35:10,L1,Drowsiness rising (PERCLOS),0.20780962789038226,0.0032592454474179313,0.7064220183486238
2025-09-03 14:35:13,L1,Drowsiness rising (PERCLOS),0.27535176101415215,0.0034870756355652754,0.583732057416268
2025-09-03 14:35:16,L2,High drowsiness (PERCLOS),0.28079466129077657,0.002663586952263309,0.49292929292929294
2025-09-03 14:35:16,L1,Drowsiness rising (PERCLOS),0.27967565581942433,0.0035246965179055656,0.4862204724409449
2025-09-03 14:35:20,L1,Drowsiness rising (PERCLOS),0.26644032767086795,0.009678124201984734,0.3990306946688207
2025-09-03 14:35:23,L1,Drowsiness rising (PERCLOS),0.26578317639067256,0.0036561251453690324,0.35352112676056335
2025-09-03 14:35:26,L1,Drowsiness rising (PERCLOS),0.2879936624687895,0.0030250776684808654,0.33458177278401996
2025-09-03 14:35:29,L1,Drowsiness rising (PERCLOS),0.3081532328404982,0.0032765034569357475,0.30078563411896747
2025-09-03 14:35:35,L2,Microsleep / Long eye closure,0.2005089161690104,0.0033063229560710583,0.2853185595567867
2025-09-03 14:35:36,L1,Drowsiness rising (PERCLOS),0.10121642472830732,0.0021495246879904215,0.3005366726296959
2025-09-03 14:39:38,L1,Yawn detected,0.27373915485857636,0.5776518651237932,0.0
2025-09-03 14:39:41,L2,Microsleep / Long eye closure,0.18567498827196288,0.001963361222616114,0.18614718614718614
2025-09-03 14:39:41,L1,Eyes off-road / Gaze deviation,0.20370853037915784,0.002536262994646289,0.2
2025-09-03 14:39:44,L1,Eyes off-road / Gaze deviation,0.24381045624408243,0.004807415634959429,0.42507645259938837
2025-09-03 14:39:47,L2,Microsleep / Long eye closure,0.20663886630672573,0.004637265621074394,0.41304347826086957
2025-09-03 14:39:47,L1,Eyes off-road / Gaze deviation,0.1912964855329125,0.004937845481413683,0.41866028708133973
2025-09-03 14:39:50,L1,Drowsiness rising (PERCLOS),0.2700765219154392,0.004575703664897342,0.35363457760314343
2025-09-03 14:39:53,L1,Drowsiness rising (PERCLOS),0.2698952551862076,0.04454613516628355,0.32053422370617696
2025-09-03 14:39:55,L2,Microsleep / Long eye closure,0.2486054583858857,0.002213905138413577,0.3518796992481203
2025-09-03 15:34:46,L1,Drowsiness rising (PERCLOS),0.2332614367118428,0.0028729467355308987,0.3157894736842105
2025-09-03 15:34:46,L2,High drowsiness (PERCLOS),0.24149743560866863,0.003759358131780384,0.4583333333333333
2025-09-03 15:34:49,L1,Eyes off-road / Gaze deviation,0.17521088656352762,0.0027532704600112855,0.45871559633027525
2025-09-03 15:34:52,L1,Eyes off-road / Gaze deviation,0.08663833089937305,0.002203115613288196,0.58
2025-09-03 15:34:52,L2,Microsleep / Long eye closure,0.08909085714857952,0.0014622733743394891,0.5882352941176471
2025-09-03 15:34:55,L1,Eyes off-road / Gaze deviation,0.08721858135205622,0.002969669972493768,0.711340206185567
2025-09-03 15:34:58,L1,Drowsiness rising (PERCLOS),0.13310448338647016,0.016985253819514302,0.7086614173228346
2025-09-03 15:34:58,L2,Microsleep / Long eye closure,0.13888220539448662,0.019087520429847474,0.7020725388601037
2025-09-03 15:35:01,L1,Drowsiness rising (PERCLOS),0.2659797670624612,0.013850662820278742,0.6461864406779662
2025-09-03 15:35:04,L1,Drowsiness rising (PERCLOS),0.0824572779466541,0.4125218339944787,0.5879218472468917
2025-09-03 15:35:04,L2,High drowsiness (PERCLOS),0.06733678037227722,0.5726168194281349,0.5908289241622575
2025-09-03 15:35:07,L1,Drowsiness rising (PERCLOS),0.06559087057031746,0.514143606643589,0.6452599388379205
2025-09-03 15:35:10,L1,Drowsiness rising (PERCLOS),0.44703695384326164,0.1906014165393934,0.6451612903225806
2025-09-03 15:35:10,L2,High drowsiness (PERCLOS),0.5678526382636432,0.07813272537297722,0.642570281124498
2025-09-03 15:35:13,L1,Yawn detected,0.05664288801490314,0.8307259863169316,0.6558752997601919
2025-09-03 15:35:16,L1,Drowsiness rising (PERCLOS),0.209587822976144,0.012495312207823277,0.6875675675675675
2025-09-03 15:35:16,L2,High drowsiness (PERCLOS),0.20220461980770343,0.010133333044390864,0.6882416396979504
2025-09-03 17:11:00,L1,Drowsiness rising (PERCLOS),0.2431753254694453,0.004786002393882112,0.3333333333333333
2025-09-03 17:11:00,L2,High drowsiness (PERCLOS),0.24807444887580635,0.004674602036654582,0.45454545454545453
2025-09-03 17:11:07,L1,Eyes off-road / Gaze deviation,0.2716701904936134,0.012688004531097793,0.030973451327433628
2025-09-03 17:11:15,L1,Eyes off-road / Gaze deviation,0.272726807247751,0.004074004218633553,0.07855626326963906
2025-09-03 17:11:18,L2,Microsleep / Long eye closure,0.2302906886087713,0.006231013383432771,0.13793103448275862
2025-09-03 17:11:19,L1,Eyes off-road / Gaze deviation,0.25815065728300773,0.004277646743846645,0.16258741258741258
2025-09-03 17:11:22,L1,Eyes off-road / Gaze deviation,0.2676654126660704,0.004399590857074554,0.18777943368107303
2025-09-03 17:12:27,L1,Drowsiness rising (PERCLOS),0.20673356069766752,0.00895994969043403,0.30158730158730157
2025-09-03 17:12:30,L1,Drowsiness rising (PERCLOS),0.2453695151984286,0.003278688524590164,0.40522875816993464
